0.11175 -0.17049 0.45513 -0.62177 0.39451 -0.095783
0.23397 -1.0668  2.3828 -2.6871  1.4859  -0.32478
96.000	0.0449590
97.000	0.0465710
98.000	0.0476060
99.000	0.0483030
100.00	0.0487900
101.00	0.0491320
102.00	0.0493300
103.00	0.0494420
104.00	0.0494700
105.00	0.0494700
106.00	0.0494140
107.00	0.0493300
108.00	0.0492160
109.00	0.0490750
110.00	0.0489330
111.00	0.0487620
112.00	0.0485900
113.00	0.0483890
114.00	0.0482160
115.00	0.0480140
116.00	0.0478100
117.00	0.0476060
118.00	0.0474010
119.00	0.0471650
120.00	0.0469580
121.00	0.0467500
122.00	0.0465420
123.00	0.0463320
124.00	0.0461210
125.00	0.0459090
126.00	0.0456960
127.00	0.0454830
128.00	0.0452680
129.00	0.0450520
130.00	0.0448350
131.00	0.0446490
132.00	0.0444610
133.00	0.0442410
134.00	0.0440520
135.00	0.0438620
136.00	0.0436710
137.00	0.0435120
138.00	0.0433190
139.00	0.0431580
140.00	0.0429970
141.00	0.0428350
142.00	0.0426720
143.00	0.0425080
144.00	0.0423770
145.00	0.0422120
146.00	0.0420800
147.00	0.0419480
148.00	0.0418150
149.00	0.0416810
150.00	0.0415480
151.00	0.0414130
152.00	0.0413120
153.00	0.0411770
154.00	0.0410760
155.00	0.0409740
156.00	0.0408720
157.00	0.0407700
158.00	0.0406670
159.00	0.0405990
160.00	0.0404960
161.00	0.0404270
162.00	0.0403580
163.00	0.0402540
164.00	0.0401850
165.00	0.0401500
166.00	0.0400810
167.00	0.0400120
168.00	0.0399770
